ObjectID,Site Type,Tag Number ,Stream Width (m),Mesohabitat ,Other - Mesohabitat ,Depth (cm),Velocity (m/s),Substrate ,Canopy Cover ,Instream Cover Type (1),Instream Cover Percentage (1),Instream Cover Type (2),Instream Cover Percentage (2),Instream Cover Type (3),Instream Cover Percentage (3),Stream Name,Date and Time,Temperature (C) 
175,Available,na,14.3,Riffle,,42,0.5,Pebble,No,Substrate_Feature,30,na,0,na,0,West_Clear_Creek,3/16/2022,9
176,Available,na,10.69,Pool,,73,0.14,Pebble,No,na,0,na,0,na,0,West_Clear_Creek,3/16/2022,9
177,Available,na,8.5,Pool,,45,0.02,Pebble,No,Substrate_Feature,10,Woody_Debris,20,na,0,West_Clear_Creek,3/16/2022,9
178,Available,na,9.48,Pool,,85,0.08,Cobble,Yes,Substrate_Feature,10,na,0,na,0,West_Clear_Creek,3/16/2022,9
179,Available,na,7.29,Riffle,,37,0.21,Boulder,No,Surface_Turbulence,30,Substrate_Feature,30,na,0,West_Clear_Creek,3/16/2022,9
180,Available,na,7.03,Riffle,,45,0.45,Boulder,Yes,Substrate_Feature,30,Surface_Turbulence,30,na,0,West_Clear_Creek,3/16/2022,9
181,Available,na,7.18,Riffle,,43,0.59,Pebble,Yes,Surface_Turbulence,50,Woody_Debris,10,na,0,West_Clear_Creek,3/16/2022,9
182,Available,na,26.7,Pool,,107,0.02,Gravel,No,na,0,na,0,na,0,West_Clear_Creek,3/16/2022,9
183,Available,na,9.54,Pool,,36,0.03,Cobble,Yes,Substrate_Feature,20,Woody_Debris,10,na,0,West_Clear_Creek,3/16/2022,9
184,Available,na,12.6,Riffle,,26,0.27,Pebble,Yes,Substrate_Feature,20,Woody_Debris,10,na,0,West_Clear_Creek,3/16/2022,9
185,Available,na,9.3,Run,,35,0.05,Gravel,No,Substrate_Feature,10,Aquatic_Vegetation,5,na,0,West_Clear_Creek,3/16/2022,9
186,Available,na,7.5,Run,,33,0.11,Gravel,Yes,Substrate_Feature,30,na,0,na,0,West_Clear_Creek,3/16/2022,9
187,Available,na,7.14,Run,,59,0.18,Silt Clay,Yes,Woody_Debris,20,Aquatic_Vegetation,10,na,0,West_Clear_Creek,3/16/2022,9
188,Available,na,7.1,Riffle,,19,0.04,Cobble,No,Substrate_Feature,30,na,0,na,0,West_Clear_Creek,3/16/2022,9
189,Available,na,5.3,Riffle,,29,0.55,Cobble,Yes,Surface_Turbulence,10,Substrate_Feature,10,na,0,West_Clear_Creek,3/16/2022,9
190,Available,na,4.5,Riffle,,26,0.14,Boulder,Yes,Substrate_Feature,40,Surface_Turbulence,20,na,0,West_Clear_Creek,3/16/2022,9
191,Available,na,19.24,Pool,,99,0,Pebble,No,na,0,na,0,na,0,West_Clear_Creek,3/16/2022,9
192,Available,na,15.74,Pool,,>150,na,na,Yes,na,0,na,0,na,0,West_Clear_Creek,3/16/2022,9
193,Available,na,19.95,Pool,,>150,na,na,No,na,0,na,0,na,0,West_Clear_Creek,3/16/2022,9
194,Available,na,20.21,Pool,,>150,na,na,No,na,0,na,0,na,0,West_Clear_Creek,3/16/2022,9
195,Available,na,21.3,Pool,,>150,na,na,No,na,0,na,0,na,0,West_Clear_Creek,3/16/2022,9
196,Available,na,20.41,Pool,,108,0,Silt Clay,Yes,na,0,na,0,na,0,West_Clear_Creek,3/16/2022,9
197,Available,na,23.39,Pool,,>150,na,na,Yes,na,0,na,0,na,0,West_Clear_Creek,3/16/2022,9
198,Available,na,19.1,Pool,,>150,na,na,No,na,0,na,0,na,0,West_Clear_Creek,3/16/2022,9
199,Available,na,16.29,Pool,,>150,na,na,No,na,0,na,0,na,0,West_Clear_Creek,3/16/2022,9
200,Available,na,19.01,Pool,,64,0,Silt Clay,Yes,na,0,na,0,na,0,West_Clear_Creek,3/16/2022,9
201,Available,na,21.21,Pool,,14,0,Silt Clay,Yes,Woody_Debris,30.00%,na,0,na,0,West_Clear_Creek,3/16/2022,9
202,Available,na,17.1,Pool,,>150,na,na,No,na,0,na,0,na,0,West_Clear_Creek,3/16/2022,9
203,Occupied,166,16,Pool,,>150,na,Gravel,No,na,0,na,0,na,0,West_Clear_Creek,3/16/2022,9
204,Available,na,16.04,Pool,,64,0,Gravel,No,Substrate_Feature,15%,na,0,na,0,West_Clear_Creek,3/16/2022,9
205,Available,na,13.91,Riffle,,81,0.35,Gravel,Yes,Substrate_Feature,35%,na,0,na,0,West_Clear_Creek,3/16/2022,9
206,Occupied,178,9.42,Riffle,,57,0.3,Boulder,Yes,Substrate_Feature,70%,na,0,na,0,West_Clear_Creek,3/16/2022,9
207,Available,na,9.21,Riffle,,72,0.33,Boulder,Yes,Substrate_Feature,90%,Surface_Turbulence,5,na,0,West_Clear_Creek,3/16/2022,9
208,Available,na,18.2,Riffle,,39,0.3,Gravel,Yes,Substrate_Feature,50%,na,0,na,0,West_Clear_Creek,3/16/2022,9
209,Occupied,na,14.08,Riffle,,62,0.49,Gravel,Yes,Substrate_Feature,15%,na,0,na,0,West_Clear_Creek,3/16/2022,9
210,Available,na,17.43,Riffle,,60,0.48,Cobble,Yes,Substrate_Feature,10%,na,0,na,0,West_Clear_Creek,3/16/2022,9
211,Available,na,21.02,Riffle,,38,0.49,Boulder,Yes,Substrate_Feature,60%,na,0,na,0,West_Clear_Creek,3/16/2022,9
212,Available,na,19.3,Riffle,,39,0.11,Boulder,No,Substrate_Feature,60%,na,0,na,0,West_Clear_Creek,3/16/2022,9
213,Available,na,15.76,Riffle,,49,0.41,Boulder,No,Substrate_Feature,30%,na,0,na,0,West_Clear_Creek,3/16/2022,9
214,Available,na,12.48,Riffle,,41,0.58,Boulder,Yes,Substrate_Feature,15%,na,0,na,0,West_Clear_Creek,3/16/2022,9
215,Available,na,10.58,Riffle,,50,0.64,Boulder,No,Substrate_Feature,30%,na,0,na,0,West_Clear_Creek,3/16/2022,9
216,Available,na,9.54,Riffle,,46,0.4,Cobble,No,Substrate_Feature,20%,na,0,na,0,West_Clear_Creek,3/16/2022,9
217,Available,na,9.73,Riffle,,44,0.23,Cobble,Yes,Substrate_Feature,20%,na,0,na,0,West_Clear_Creek,3/16/2022,9
218,Occupied,218,11.52,Riffle,,59,0.35,Boulder,Yes,Substrate_Feature,65%,na,0,na,0,West_Clear_Creek,3/16/2022,9
219,Available,na,10.84,Riffle,,39,0.15,Gravel,Yes,Substrate_Feature,60%,Surface_Turbulence,40%,na,0,West_Clear_Creek,3/16/2022,9
220,Available,na,12.85,Riffle,,52,0.4,Boulder,No,na,0,na,0,na,0,West_Clear_Creek,3/16/2022,9
221,Available,na,14.07,Riffle,,56,0.55,Cobble,No,Substrate_Feature,10%,na,0,na,0,West_Clear_Creek,3/16/2022,9
222,Available,na,15.01,Riffle,,38,0.28,Pebble,No,Substrate_Feature,15%,na,0,na,0,West_Clear_Creek,3/16/2022,9
223,Available,na,14.95,Riffle,,50,0.96,Boulder,No,Substrate_Feature,50%,Surface_Turbulence,5%,na,0,West_Clear_Creek,3/16/2022,9
224,Available,na,13.09,Riffle,,42,0.84,Gravel,Yes,Substrate_Feature,30%,na,0,na,0,West_Clear_Creek,3/16/2022,9
225,Available,na,13.53,Riffle,,53,0.32,Sand,Yes,na,0,na,0,na,0,West_Clear_Creek,3/16/2022,9
226,Available,na,14.21,Run,,31,0.02,Sand,Yes,Aquatic_Vegetation,30%,Woody_Debris,5%,Substrate_Feature,5%,West_Clear_Creek,3/16/2022,9
227,Available,na,14.03,Run,,58,0.28,Pebble,Yes,Substrate_Feature,15%,na,0,na,0,West_Clear_Creek,3/16/2022,9
228,Available,na,12.26,Riffle,,84,0.65,Boulder,No,Substrate_Feature,30%,na,0,na,0,West_Clear_Creek,3/16/2022,9
229,Available,na,13.65,Riffle,,48,1.07,Pebble,No,Substrate_Feature,15%,na,0,na,0,West_Clear_Creek,3/16/2022,9
230,Available,na,17.16,Riffle,,34,1.16,Cobble,Yes,Substrate_Feature,35%,Surface_Turbulence,10%,na,0,West_Clear_Creek,3/16/2022,9
231,Available,na,15.25,Riffle,,46,0.82,Boulder,No,Substrate_Feature,60%,Surface_Turbulence,40%,na,0,West_Clear_Creek,3/16/2022,9
232,Occupied,157,14.56,Riffle,,38,0.43,Boulder,Yes,Substrate_Feature,40%,na,0,na,0,West_Clear_Creek,3/16/2022,9
233,Occupied,168,12.72,Riffle,,37,0.97,Boulder,Yes,Substrate_Feature,50%,na,0,na,0,West_Clear_Creek,3/16/2022,9
234,Occupied,172,12.75,Riffle,,30,0.28,Boulder,Yes,Substrate_Feature,70%,na,0,na,0,West_Clear_Creek,3/16/2022,9
235,Occupied,163,12.63,Riffle,,34,0.27,Boulder,Yes,Substrate_Feature,50%,Woody_Debris,20%,na,0,West_Clear_Creek,3/16/2022,9
236,Available,na,13.54,Riffle,,62,0.86,Boulder,Yes,Substrate_Feature,40%,Surface_Turbulence,5%,na,0,West_Clear_Creek,3/16/2022,9
237,Occupied,163,13.61,Riffle,,50,0.11,Boulder,Yes,Substrate_Feature,20%,na,0,na,0,West_Clear_Creek,3/16/2022,9
238,Occupied,171,13.61,Riffle,,52,0.24,Boulder,Yes,Substrate_Feature,20%,na,0,na,0,West_Clear_Creek,3/16/2022,9
239,Available,na,8.18,Riffle,,69,0.08,Pebble,No,Substrate_Feature,10%,na,0,na,0,West_Clear_Creek,3/16/2022,9
240,Occupied,175,8.45,Riffle,,65,0,Pebble,Yes,Woody_Debris,40%,na,0,na,0,West_Clear_Creek,3/16/2022,9
241,Available,162,8.44,Riffle,,70,0.29,Cobble,Yes,Woody_Debris,50%,na,0,na,0,West_Clear_Creek,3/16/2022,9
242,Available,na,8.88,Riffle,,na,na,na,Yes,na,0,na,0,na,0,West_Clear_Creek,3/16/2022,9
243,Available,na,11.95,Riffle,,25,0.65,Cobble,Yes,Substrate_Feature,10,na,0,na,0,West_Clear_Creek,3/17/2022,8
244,Available,na,10.98,Riffle,,48,0.64,Pebble,Yes,Substrate_Feature,15,na,0,na,0,West_Clear_Creek,3/17/2022,8
245,Occupied,173,12.3,Riffle,,33,0.36,Boulder,No,Substrate_Feature,30,na,0,na,0,West_Clear_Creek,3/17/2022,8
246,Available,na,13.3,Riffle,,56,0.23,Boulder,No,Substrate_Feature,40,Surface_Turbulence,5,na,0,West_Clear_Creek,3/17/2022,8
247,Available,na,12.43,Riffle,,63,0.87,Cobble,Yes,Substrate_Feature,20,na,0,na,0,West_Clear_Creek,3/17/2022,8
248,Available,na,12.62,Riffle,,38,0.12,Boulder,Yes,Substrate_Feature,40,Surface_Turbulence,5,na,0,West_Clear_Creek,3/17/2022,8
249,Available,na,11.4,Riffle,,50,0.14,Boulder,No,Substrate_Feature,50,Surface_Turbulence,20,na,0,West_Clear_Creek,3/17/2022,8
250,Available,na,12.2,Riffle,,22,0.23,Silt Clay,Yes,Aquatic_Vegetation,30,Woody_Debris,20,na,0,West_Clear_Creek,3/17/2022,8
251,Available,na,10.9,Riffle,,65,0.47,Cobble,No,Substrate_Feature,10,na,0,na,0,West_Clear_Creek,3/17/2022,8
252,Available,na,12.4,Riffle,,26,0.34,Silt Clay,Yes,Aquatic_Vegetation,80,na,0,na,0,West_Clear_Creek,3/17/2022,8
253,Available,na,15.6,Pool,,66,0.4,Boulder,No,Substrate_Feature,30,na,0,na,0,West_Clear_Creek,3/17/2022,8
254,Occupied,185,15.6,Pool,,50,0,Gravel,No,Substrate_Feature,20,na,0,na,0,West_Clear_Creek,3/17/2022,8
255,Occupied,181,15.6,Pool,,60,0.14,Gravel,No,na,0,na,0,na,0,West_Clear_Creek,3/17/2022,8
256,Available,na,15.6,Pool,,71,0.19,Boulder,No,Substrate_Feature,60,na,0,na,0,West_Clear_Creek,3/17/2022,8
257,Available,na,14.6,Pool,,53,0.12,Cobble,Yes,Substrate_Feature,10,na,0,na,0,West_Clear_Creek,3/17/2022,8
258,Available,na,13.69,Pool,,88,0.15,Cobble,No,na,0,na,0,na,0,West_Clear_Creek,3/17/2022,8
